invoice_id,customer_id,country,currency,invoice_date,product_id,service_category,quantity,unit_price,net_value,tax_rate,tax_amount,total_amount,invoice_status
INV-2024-000111,CUST-5562-ENT,UK,GBP,2024-07-26,CON-LITE,Console,10,387.91,3879.1,0.2,775.82,4654.92,Paid
INV-2024-000112,CUST-8953-IND,US,USD,2024-10-22,GPU-RDNA,GPU,9,1508.96,13580.64,0.08,1086.45,14667.09,Paid
INV-2024-000113,CUST-9834-IND,IN,INR,2024-02-08,CON-NEXT,Console,10,433.79,4337.9,0.18,780.82,5118.72,Paid
INV-2024-000114,CUST-8744-IND,JP,JPY,2024-10-14,HPH-NC,Headphones,33,187.29,6180.57,0.1,618.06,6798.63,Paid
INV-2024-000115,CUST-8749-SMB,CA,CAD,2024-05-03,SWT-FIT,Smartwatch,5,365.24,1826.2,0.13,237.41,2063.61,Paid
INV-2024-000116,CUST-4119-IND,IN,INR,2024-10-09,SSD-1TB,SSD,11,218.38,2402.18,0.18,432.39,2834.57,Paid
INV-2024-000117,CUST-2588-ENT,JP,JPY,2024-06-28,HPH-SPORT,Headphones,8,220.27,1762.16,0.1,176.22,1938.38,Paid
INV-2024-000118,CUST-8062-SMB,US,USD,2024-04-06,TAB-MINI,Tablet,15,1059.82,15897.3,0.08,1271.78,17169.08,Paid
INV-2024-000119,CUST-7939-SMB,IN,INR,2024-07-09,MON-2K34,Monitor,2,241.19,482.38,0.18,86.83,569.21,Paid
INV-2024-000120,CUST-8651-ENT,FR,EUR,2024-03-14,GPU-RDNA,GPU,13,1146.77,14908.01,0.2,2981.6,17889.61,Paid
INV-2025-000121,CUST-1887-ENT,JP,JPY,2025-03-22,TAB-PRO,Tablet,6,982.23,5893.38,0.1,589.34,6482.72,Paid
INV-2025-000122,CUST-2612-IND,IN,INR,2025-05-11,SSD-512G,SSD,16,213.66,3418.56,0.18,615.34,4033.9,Paid
INV-2025-000123,CUST-7596-ENT,UK,GBP,2025-07-14,PHN-FOLD,Smartphone,3,749.97,2249.91,0.2,449.98,2699.89,Paid
INV-2025-000124,CUST-6559-IND,US,USD,2025-04-28,HPH-NC,Headphones,46,303.71,13970.66,0.08,1117.65,15088.31,Cancelled
INV-2024-000125,CUST-5073-IND,US,USD,2024-04-25,CON-NEXT,Console,10,678.66,6786.6,0.08,542.93,7329.53,Paid
INV-2025-000126,CUST-4116-ENT,DE,EUR,2025-06-18,LAP-ULTRA,Laptop,1,1466.54,1466.54,0.19,278.64,1745.18,Disputed
INV-2024-000127,CUST-8350-IND,SG,SGD,2024-04-07,MON-2K34,Monitor,14,490.94,6873.16,0.08,549.85,7423.01,Paid
INV-2024-000128,CUST-7912-IND,IN,INR,2024-11-23,GPU-RDNA,GPU,6,407.18,2443.08,0.18,439.75,2882.83,Paid
INV-2025-000129,CUST-5563-SMB,US,USD,2025-02-10,PHN-LITE,Smartphone,4,360.81,1443.24,0.08,115.46,1558.7,Paid
INV-2024-000130,CUST-5092-IND,FR,EUR,2024-11-08,SSD-512G,SSD,15,223.14,3347.1,0.2,669.42,4016.52,Paid
INV-2024-000131,CUST-8260-ENT,DE,EUR,2024-05-27,CAM-4K,Camera,4,360.3,1441.2,0.19,273.83,1715.03,Paid
INV-2024-000132,CUST-2604-IND,US,USD,2024-12-07,PHN-PRO,Smartphone,5,885.89,4429.45,0.08,354.36,4783.81,Paid
INV-2025-000133,CUST-9856-IND,US,USD,2025-05-09,LAP-GAMER,Laptop,8,1391.58,11132.64,0.08,890.61,12023.25,Pending
INV-2024-000134,CUST-2528-IND,UK,GBP,2024-01-23,CAM-DSLR,Camera,5,2735.26,13676.3,0.2,2735.26,16411.56,Paid
INV-2024-000135,CUST-3724-SMB,IN,INR,2024-04-14,CON-NEXT,Console,10,276.66,2766.6,0.18,497.99,3264.59,Paid
INV-2025-000136,CUST-8956-SMB,UK,GBP,2025-08-01,MON-4K27,Monitor,28,130.98,3667.44,0.2,733.49,4400.93,Paid
INV-2025-000137,CUST-4502-SMB,FR,EUR,2025-07-11,LAP-BIZ,Laptop,8,1818.35,14546.8,0.2,2909.36,17456.16,Paid
INV-2025-000138,CUST-1960-IND,AU,AUD,2025-08-15,MON-FHD24,Monitor,24,753.26,18078.24,0.1,1807.82,19886.06,Pending
INV-2024-000139,CUST-7209-IND,UK,GBP,2024-08-09,HPH-NC,Headphones,27,352.02,9504.54,0.2,1900.91,11405.45,Paid
INV-2024-000140,CUST-7396-SMB,IN,INR,2024-01-15,CAM-DSLR,Camera,9,1720.18,15481.62,0.18,2786.69,18268.31,Paid
INV-2025-000141,CUST-8454-SMB,IN,INR,2025-09-24,CAM-4K,Camera,10,2250.22,22502.2,0.18,4050.4,26552.6,Paid
INV-2024-000142,CUST-7930-ENT,UK,GBP,2024-03-18,SSD-1TB,SSD,22,271.73,5978.06,0.2,1195.61,7173.67,Pending
INV-2024-000143,CUST-8973-IND,FR,EUR,2024-11-17,PHN-LITE,Smartphone,2,772.4,1544.8,0.2,308.96,1853.76,Paid
INV-2024-000144,CUST-4111-SMB,UK,GBP,2024-08-28,TAB-PRO,Tablet,1,524.6,524.6,0.2,104.92,629.52,Cancelled
INV-2024-000145,CUST-4566-IND,UK,GBP,2024-01-18,MON-FHD24,Monitor,18,286.49,5156.82,0.2,1031.36,6188.18,Paid
INV-2025-000146,CUST-9883-IND,US,USD,2025-03-29,CAM-4K,Camera,8,1336.18,10689.44,0.08,855.16,11544.6,Pending
INV-2025-000147,CUST-6138-IND,CA,CAD,2025-03-18,CAM-DSLR,Camera,9,2336.19,21025.71,0.13,2733.34,23759.05,Paid
INV-2024-000148,CUST-1821-ENT,FR,EUR,2024-10-03,CAM-DSLR,Camera,10,2443.17,24431.7,0.2,4886.34,29318.04,Paid
INV-2025-000149,CUST-8811-ENT,US,USD,2025-02-27,GPU-RDNA,GPU,3,1461.78,4385.34,0.08,350.83,4736.17,Paid
INV-2025-000150,CUST-9701-IND,UK,GBP,2025-04-20,HPH-NC,Headphones,44,112.31,4941.64,0.2,988.33,5929.97,Paid
INV-2024-000151,CUST-1931-ENT,IN,INR,2024-01-27,HPH-SPORT,Headphones,29,125.08,3627.32,0.18,652.92,4280.24,Paid
INV-2025-000152,CUST-2312-IND,US,USD,2025-05-28,CAM-DSLR,Camera,6,884.28,5305.68,0.08,424.45,5730.13,Paid
INV-2025-000153,CUST-2122-ENT,US,USD,2025-04-08,PHN-LITE,Smartphone,2,435.52,871.04,0.08,69.68,940.72,Paid
INV-2024-000154,CUST-2113-ENT,DE,EUR,2024-12-28,GPU-RDNA,GPU,9,1401.23,12611.07,0.19,2396.1,15007.17,Paid
INV-2025-000155,CUST-4853-SMB,IN,INR,2025-01-17,PHN-LITE,Smartphone,12,1013.93,12167.16,0.18,2190.09,14357.25,Paid
INV-2025-000156,CUST-2964-ENT,US,USD,2025-06-08,GPU-RTX,GPU,6,1006.07,6036.42,0.08,482.91,6519.33,Paid
INV-2025-000157,CUST-5033-ENT,AU,AUD,2025-01-16,TAB-PRO,Tablet,11,1199.69,13196.59,0.1,1319.66,14516.25,Paid
INV-2024-000158,CUST-1651-ENT,JP,JPY,2024-07-02,CON-LITE,Console,7,343.64,2405.48,0.1,240.55,2646.03,Paid
INV-2024-000159,CUST-2343-SMB,US,USD,2024-07-12,LAP-GAMER,Laptop,3,866.4,2599.2,0.08,207.94,2807.14,Paid
INV-2025-000160,CUST-9565-SMB,AU,AUD,2025-04-06,CON-LITE,Console,8,460.68,3685.44,0.1,368.54,4053.98,Paid
INV-2024-000161,CUST-5272-IND,UK,GBP,2024-02-25,HPH-NC,Headphones,31,157.13,4871.03,0.2,974.21,5845.24,Paid
INV-2024-000162,CUST-6147-IND,CA,CAD,2024-08-17,TAB-MINI,Tablet,9,705.16,6346.44,0.13,825.04,7171.48,Paid
INV-2025-000163,CUST-5351-SMB,CA,CAD,2025-05-03,GPU-RTX,GPU,9,302.98,2726.82,0.13,354.49,3081.31,Pending
INV-2024-000164,CUST-3144-ENT,FR,EUR,2024-01-28,HPH-SPORT,Headphones,45,318.08,14313.6,0.2,2862.72,17176.32,Paid
INV-2025-000165,CUST-5915-SMB,US,USD,2025-08-05,CAM-4K,Camera,6,982.78,5896.68,0.08,471.73,6368.41,Paid
INV-2024-000166,CUST-6180-IND,SG,SGD,2024-07-02,CAM-DSLR,Camera,8,2694.62,21556.96,0.08,1724.56,23281.52,Paid
INV-2025-000167,CUST-1152-SMB,UK,GBP,2025-02-28,LAP-ULTRA,Laptop,7,2089.82,14628.74,0.2,2925.75,17554.49,Paid
INV-2025-000168,CUST-2638-IND,US,USD,2025-01-09,MON-4K27,Monitor,6,655.88,3935.28,0.08,314.82,4250.1,Pending
INV-2024-000169,CUST-9808-IND,US,USD,2024-02-10,GPU-RTX,GPU,12,503.1,6037.2,0.08,482.98,6520.18,Paid
INV-2025-000170,CUST-9288-SMB,CA,CAD,2025-04-28,LAP-ULTRA,Laptop,9,892.12,8029.08,0.13,1043.78,9072.86,Paid
INV-2024-000171,CUST-3170-SMB,AU,AUD,2024-09-16,CON-NEXT,Console,8,533.61,4268.88,0.1,426.89,4695.77,Disputed
INV-2025-000172,CUST-2127-IND,US,USD,2025-03-16,SWT-PRO,Smartwatch,20,554.63,11092.6,0.08,887.41,11980.01,Paid
INV-2024-000173,CUST-7054-SMB,FR,EUR,2024-03-24,SWT-FIT,Smartwatch,13,247.88,3222.44,0.2,644.49,3866.93,Paid
INV-2024-000174,CUST-3584-SMB,US,USD,2024-02-15,PHN-PRO,Smartphone,13,447.75,5820.75,0.08,465.66,6286.41,Cancelled
INV-2025-000175,CUST-9900-ENT,CA,CAD,2025-03-15,GPU-RTX,GPU,11,810.01,8910.11,0.13,1158.31,10068.42,Paid
INV-2025-000176,CUST-5956-ENT,US,USD,2025-06-02,TAB-PRO,Tablet,10,353.5,3535.0,0.08,282.8,3817.8,Paid
INV-2025-000177,CUST-9666-IND,AU,AUD,2025-03-13,MON-4K27,Monitor,7,625.25,4376.75,0.1,437.68,4814.43,Paid
INV-2024-000178,CUST-5905-ENT,DE,EUR,2024-05-15,SWT-FIT,Smartwatch,4,410.58,1642.32,0.19,312.04,1954.36,Paid
INV-2024-000179,CUST-2697-IND,IN,INR,2024-07-01,HPH-SPORT,Headphones,47,380.09,17864.23,0.18,3215.56,21079.79,Pending
INV-2024-000180,CUST-5333-IND,US,USD,2024-06-20,CAM-DSLR,Camera,9,1091.04,9819.36,0.08,785.55,10604.91,Paid
INV-2025-000181,CUST-2753-ENT,UK,GBP,2025-08-12,TAB-PRO,Tablet,12,1030.96,12371.52,0.2,2474.3,14845.82,Paid
INV-2025-000182,CUST-3546-SMB,US,USD,2025-06-22,PHN-LITE,Smartphone,1,1161.08,1161.08,0.08,92.89,1253.97,Paid
INV-2024-000183,CUST-5616-ENT,IN,INR,2024-04-29,LAP-BIZ,Laptop,5,717.28,3586.4,0.18,645.55,4231.95,Paid
INV-2024-000184,CUST-4450-ENT,IN,INR,2024-10-07,SWT-PRO,Smartwatch,20,193.37,3867.4,0.18,696.13,4563.53,Pending
INV-2024-000185,CUST-6617-IND,UK,GBP,2024-11-03,SWT-FIT,Smartwatch,22,422.71,9299.62,0.2,1859.92,11159.54,Paid
